origin_loc_id,origin_borough,origin_zone_name,dest_loc_id,destination_borough,destination_zone_name,trip_count,percentage_of_origin_trips,average_distance_miles,average_duration_minutes,average_total_charge,origin_flow_rank,overall_flow_rank
138,Queens,LaGuardia Airport,170,Manhattan,Murray Hill,2967,2.55,8.822,30.59,70.34,6,245
48,Manhattan,Clinton East,163,Manhattan,Midtown North,2952,3.25,0.949,9.141,16.86,8,246
79,Manhattan,East Village,68,Manhattan,East Chelsea,2942,3.06,2.156,16.117,23.36,7,247
132,Queens,JFK Airport,68,Manhattan,East Chelsea,2939,1.8,17.917,60.75,97.28,8,249
163,Manhattan,Midtown North,164,Manhattan,Midtown South,2939,2.8,1.399,14.732,21.69,9,249
262,Manhattan,Yorkville East,141,Manhattan,Lenox Hill West,2915,5.71,1.096,7.637,15.81,4,253
263,Manhattan,Yorkville West,262,Manhattan,Yorkville East,2897,4.24,0.673,4.95,13.28,6,254
163,Manhattan,Midtown North,141,Manhattan,Lenox Hill West,2885,2.75,1.28,11.479,19.92,10,255
249,Manhattan,West Village,107,Manhattan,Gramercy,2867,3.33,1.447,11.527,19.81,8,258
164,Manhattan,Midtown South,237,Manhattan,Upper East Side South,2858,3.4,1.881,16.514,24.34,5,259
246,Manhattan,West Chelsea/Hudson Yards,68,Manhattan,East Chelsea,2843,4.22,0.893,7.595,16.23,3,261
143,Manhattan,Lincoln Square West,142,Manhattan,Lincoln Square East,2817,6.31,0.679,6.47,13.96,3,264
79,Manhattan,East Village,186,Manhattan,Penn Station/Madison Sq West,2796,2.91,2.046,15.198,22.8,8,267
132,Queens,JFK Airport,10,Queens,Baisley Park,2793,1.71,3.797,13.318,25.5,9,269
138,Queens,LaGuardia Airport,236,Manhattan,Upper East Side North,2784,2.39,8.476,27.171,65.32,7,272
263,Manhattan,Yorkville West,229,Manhattan,Sutton Place/Turtle Bay North,2781,4.07,1.723,10.931,19.8,7,274
249,Manhattan,West Village,186,Manhattan,Penn Station/Madison Sq West,2765,3.21,1.259,8.337,17.54,9,277
113,Manhattan,Greenwich Village North,79,Manhattan,East Village,2756,4.88,0.819,7.874,16.2,1,280
138,Queens,LaGuardia Airport,239,Manhattan,Upper West Side South,2747,2.36,10.027,36.873,75.78,8,281
141,Manhattan,Lenox Hill West,142,Manhattan,Lincoln Square East,2737,3.39,1.655,14.047,21.43,9,282
79,Manhattan,East Village,114,Manhattan,Greenwich Village South,2736,2.85,0.888,7.987,16.25,9,283
43,Manhattan,Central Park,230,Manhattan,Times Sq/Theatre District,2734,4.99,1.755,16.471,23.53,6,284
113,Manhattan,Greenwich Village North,234,Manhattan,Union Sq,2727,4.83,0.868,7.474,16.39,2,286
68,Manhattan,East Chelsea,163,Manhattan,Midtown North,2726,2.79,1.959,18.532,25.39,8,287
140,Manhattan,Lenox Hill East,161,Manhattan,Midtown Center,2718,3.79,1.864,16.719,23.98,8,288
138,Queens,LaGuardia Airport,48,Manhattan,Clinton East,2679,2.3,10.292,44.635,81.39,9,291
68,Manhattan,East Chelsea,90,Manhattan,Flatiron,2670,2.73,0.875,7.765,15.87,9,294
107,Manhattan,Gramercy,186,Manhattan,Penn Station/Madison Sq West,2664,3.55,1.235,13.413,19.88,4,295
68,Manhattan,East Chelsea,164,Manhattan,Midtown South,2640,2.7,1.204,13.366,20.46,10,297
246,Manhattan,West Chelsea/Hudson Yards,231,Manhattan,TriBeCa/Civic Center,2639,3.92,2.66,17.168,26.14,4,298
164,Manhattan,Midtown South,163,Manhattan,Midtown North,2624,3.12,1.415,14.118,21.52,6,301
231,Manhattan,TriBeCa/Civic Center,249,Manhattan,West Village,2588,4.63,1.361,10.161,18.69,1,304
114,Manhattan,Greenwich Village South,234,Manhattan,Union Sq,2580,4.44,1.223,9.279,18.19,2,306
107,Manhattan,Gramercy,137,Manhattan,Kips Bay,2574,3.43,0.744,5.374,14.42,5,307
43,Manhattan,Central Park,163,Manhattan,Midtown North,2568,4.69,1.309,11.29,19.75,7,309
107,Manhattan,Gramercy,161,Manhattan,Midtown Center,2557,3.41,1.724,15.006,22.7,6,312
262,Manhattan,Yorkville East,263,Manhattan,Yorkville West,2551,5.0,0.671,4.752,13.15,5,314
229,Manhattan,Sutton Place/Turtle Bay North,170,Manhattan,Murray Hill,2547,4.12,1.133,11.021,18.87,7,315
114,Manhattan,Greenwich Village South,249,Manhattan,West Village,2540,4.38,0.916,7.738,16.84,3,316
158,Manhattan,Meatpacking/West Village West,231,Manhattan,TriBeCa/Civic Center,2539,5.84,1.618,11.498,20.15,1,317
79,Manhattan,East Village,231,Manhattan,TriBeCa/Civic Center,2525,2.63,1.875,13.371,21.36,10,321
113,Manhattan,Greenwich Village North,170,Manhattan,Murray Hill,2515,4.45,1.626,14.763,21.19,3,322
164,Manhattan,Midtown South,68,Manhattan,East Chelsea,2508,2.98,1.157,12.488,19.01,7,323
100,Manhattan,Garment District,163,Manhattan,Midtown North,2504,4.65,1.156,12.297,19.54,3,325
48,Manhattan,Clinton East,50,Manhattan,Clinton West,2493,2.74,0.795,6.215,15.27,9,327
164,Manhattan,Midtown South,162,Manhattan,Midtown East,2482,2.95,1.128,10.736,18.55,8,329
246,Manhattan,West Chelsea/Hudson Yards,161,Manhattan,Midtown Center,2481,3.68,1.846,18.669,25.36,5,330
144,Manhattan,Little Italy/NoLiTa,79,Manhattan,East Village,2466,5.59,0.99,9.048,16.63,1,332
90,Manhattan,Flatiron,186,Manhattan,Penn Station/Madison Sq West,2444,4.01,0.683,6.429,15.04,4,336
132,Queens,JFK Airport,239,Manhattan,Upper West Side South,2438,1.49,20.355,60.622,96.56,10,340
137,Manhattan,Kips Bay,79,Manhattan,East Village,2434,5.9,1.333,8.395,17.54,1,341
249,Manhattan,West Village,144,Manhattan,Little Italy/NoLiTa,2425,2.82,1.283,11.78,19.32,10,343
